parentid,objectid,title,object_location,date,date-is-approximate?,creator,recipient,description,item_information,subject,location,latitude,longitude,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,format,language,relation,display_template,image_small,image_thumb,image_alt_text,
,am250_001,North Carolina in the U.S. Revolution,https://www.ncpedia.org/history/usrevolution/overview,1775-1783,n,"Howard, Joshua",,An article giving an overview of events of the Revolutionary War in North Carolina,encyclopedia article,"North Carolina--History--American Revolutionary War, 1775-1783; United States--History--Revolution, 1775-1783","New Bern, North Carolina; Edenton, North Carolina; Massachusetts; Philadelphia, Pennsylvania; Monmouth, New Jersey; Augusta, Georgia; Savannah, Georgia; Stono Ferry, South Carolina; Charleston, South Carolina; Camden, South Carolina; Wilmington, North Carolina;  Hillsborough, North Carolina ",,,NCpedia,Library of North Carolina,,,,"NCpedia content has been made available by contributors for personal educational use, consistent with provisions of fair use under copyright law. For any other uses, derivatives or republication requests, please contact the individual contributors or publishers.",https://www.ncpedia.org/writing-and-citing-ncpedia-articles,text,text/html,eng,,html,,,Read more about events of the Revolutionary War in North Carolina,65
,am250_002,American Revolution in North Carolina,https://www.ncpedia.org/american-revolution,1775-1783,n,"Davis, David K.; Lamm, Alan K.; Whittenburg, Carolyn Sparks",,A multi-part article about events of the American Revolution in North Carolina,encyclopedia article,"North Carolina--History--American Revolutionary War, 1775-1783; United States--History--Revolution, 1775-1783","Lexington, Massachusetts; Concord, Massachusetts; Mecklenburg County, North Carolina; New Bern, North Carolina; Hillsborough, North Carolina; South Carolina; Pender County, North Carolina; Philadelphia, Pennsylvania; Halifax, North Carolina;  Georgia; Charleston, South Carolina; Camden, South Carolina; Charlotte, North Carolina;  Wilmington, North Carolina;Yorktown, Virginia",,,NCpedia,Library of North Carolina,,,,"NCpedia content has been made available by contributors for personal educational use, consistent with provisions of fair use under copyright law. For any other uses, derivatives or republication requests, please contact the individual contributors or publishers.",https://www.ncpedia.org/writing-and-citing-ncpedia-articles,text,text/html,eng,,html,,,Read more about events of the American Revolution in North Carolina,67
,am250_003,American Revolution Battles in North Caroillna,,,,,,Articles about battles of the Ameridcan Revolution that occurred in North Carolina,,"Battles; North Carolina--History--American Revolutionary War, 1775-1783; United States--History--Revolution, 1775-1783",North Carolina,,,,,,,,,,,,eng,,compound_object,,,Battles of the American Revolution that took place in North Carolina,68
am250_003,am250_004,Battle of Guilford Courthouse,https://www.ncpedia.org/history/usrevolution/guilford-courthouse,1781,n,"Howard, Joshua",,An article about the Battle of Guilford Courthouse in North Carolina,encyclopedia article,"Battles; Guilford Courthouse, Battle of, N.C., 1781; North Carolina--History--American Revolutionary War, 1775-1783; United States--History--Revolution, 1775-1783","Guilford Courthouse, North Carolina",,,NCpedia,Library of North Carolina,,,,"NCpedia content has been made available by contributors for personal educational use, consistent with provisions of fair use under copyright law. For any other uses, derivatives or republication requests, please contact the individual contributors or publishers.",https://www.ncpedia.org/writing-and-citing-ncpedia-articles,text,text/html,eng,,html,,,Read more about the Battle of Guilford Courthouse,49
am250_003,am250_005,Battle of Moores Creek Bridge,https://www.ncpedia.org/battle-moores-creek-bridge-american,1776,n,"Howard, Joshua",,An article about the Battle of Moores Creek Bridge in North Carolina,encyclopedia article,"Battles; Moores Creek Bridge, Battle of, N.C., 1776; North Carolina--History--American Revolutionary War, 1775-1783; United States--History--Revolution, 1775-1783","Wilmington, North Carolina; Fayetteville, North Carolina; Elizabeth Town, North Carolina; Moores Creek Bridge, North Carolina",,,NCpedia,Library of North Carolina,,,,"NCpedia content has been made available by contributors for personal educational use, consistent with provisions of fair use under copyright law. For any other uses, derivatives or republication requests, please contact the individual contributors or publishers.",https://www.ncpedia.org/writing-and-citing-ncpedia-articles,text,text/html,eng,,html,,,Read more about the Battle of Moores Creek Bridge,49
am250_003,am250_006,Battle of Ramsour's Mill,https://www.ncpedia.org/ramsours-mill-battle,1780,n,"Barefoot, Daniel W.",,An article about the Battle of Ramsour's Mill in North Carolina,encyclopedia article,"Battles; North Carolina--History--American Revolutionary War, 1775-1783; Ramsour's Mill, Battle of, N.C., 1780; United States--History--Revolution, 1775-1783","LIncoln County, North Carolina",,,NCpedia,Library of North Carolina,,,,"NCpedia content has been made available by contributors for personal educational use, consistent with provisions of fair use under copyright law. For any other uses, derivatives or republication requests, please contact the individual contributors or publishers.",https://www.ncpedia.org/writing-and-citing-ncpedia-articles,text,text/html,eng,,html,,,Read more about the Battle of Ramsour's Mill,44
am250_003,am250_007,Battle of Wetzell's Mill,https://www.ncpedia.org/wetzells-mill-battle,1781,n,"Hairr, John",,An article about the Battle of Wetzell's Mill in North Carolina,encyclopedia article,"Battles; Guilford County (N.C.)--History; North Carolina--History--American Revolutionary War, 1775-1783; United States--History--Revolution, 1775-1783","Guilford County, North Carolina",,,NCpedia,Library of North Carolina,,,,"NCpedia content has been made available by contributors for personal educational use, consistent with provisions of fair use under copyright law. For any other uses, derivatives or republication requests, please contact the individual contributors or publishers.",https://www.ncpedia.org/writing-and-citing-ncpedia-articles,text,text/html,eng,,html,,,Read more about the Battle of Wetzell's Mill,44
am250_003,am250_008,Battle of Alamance,https://www.ncpedia.org/alamance-battle,1771,n,"Troxler, George W.",,An article about the Battle of Alamance in North Carolina,encyclopedia article,"Alamance Creek, Battle of, N.C., 1771; Battles; North Carolina--History--American Revolutionary War, 1775-1783; United States--History--Revolution, 1775-1783","Alamance County, North Carolina",,,NCpedia,Library of North Carolina,,,,"NCpedia content has been made available by contributors for personal educational use, consistent with provisions of fair use under copyright law. For any other uses, derivatives or republication requests, please contact the individual contributors or publishers.",https://www.ncpedia.org/writing-and-citing-ncpedia-articles,text,text/html,eng,,html,,,Read more about the Battle of Alamance,38
am250_003,am250_009,Battle of Clapp's Mill,https://www.ncpedia.org/clapps-mill-battle,1781,n,"Hill, Michael",,An article about the Battle of Clapp's Mill in North Carolina,encyclopedia article,"Battles; North Carolina--History--American Revolutionary War, 1775-1783; United States--History--Revolution, 1775-1783","Alamance County, North Carolina",,,NCpedia,Library of North Carolina,,,,"NCpedia content has been made available by contributors for personal educational use, consistent with provisions of fair use under copyright law. For any other uses, derivatives or republication requests, please contact the individual contributors or publishers.",https://www.ncpedia.org/writing-and-citing-ncpedia-articles,text,text/html,eng,,html,,,Read more about the Battle of Clapp's Mill,42
am250_003,am250_010,Battle of King's Mountain,https://www.ncpedia.org/kings-mountain-battle,1780,n,"Yancey, Noel",,An article about the Battle of King's Mountain in North Carolina,encyclopedia article,"Battles; Kings Mountain, Battle of, N.C., 1780; North Carolina--History--American Revolutionary War, 1775-1783; United States--History--Revolution, 1775-1783","King's Mountain, North Carolina; Old Fort, North Carolina",,,NCpedia,Library of North Carolina,,,,"NCpedia content has been made available by contributors for personal educational use, consistent with provisions of fair use under copyright law. For any other uses, derivatives or republication requests, please contact the individual contributors or publishers.",https://www.ncpedia.org/writing-and-citing-ncpedia-articles,text,text/html,eng,,html,,,Read more about the Battle of King's Mountain,45
am250_003,am250_011,Battle of Beaufort,https://www.ncpedia.org/beaufort-battle,1782,n,"Branch, Paul, Jr.",,An article about the Battle of Beaufort in North Carolina,encyclopedia article,"Battles; Beaufort (N.C.)--History; North Carolina--History--American Revolutionary War, 1775-1783; United States--History--Revolution, 1775-1783","Beaufort, North Carolina",,,NCpedia,Library of North Carolina,,,,"NCpedia content has been made available by contributors for personal educational use, consistent with provisions of fair use under copyright law. For any other uses, derivatives or republication requests, please contact the individual contributors or publishers.",https://www.ncpedia.org/writing-and-citing-ncpedia-articles,text,text/html,eng,,html,,,Read more about the Battle of Beaufort,45
am250_003,am250_012,Battle of Bettis's Bridge (also called McPhaul's Mill),https://www.ncpedia.org/bettiss-bridge-battle,1781,n,"Butler, Lindley S.; McKinnon, Henry A., Jr.",,An article about the Battle of Bettis's Bridge in North Carolina,encyclopedia article,"Battles; Hoke County (N.C.)--History; North Carolina--History--American Revolutionary War, 1775-1783; United States--History--Revolution, 1775-1783","Hoke County, North Carolina; Scotland County, North Carolina",,,NCpedia,Library of North Carolina,,,,"NCpedia content has been made available by contributors for personal educational use, consistent with provisions of fair use under copyright law. For any other uses, derivatives or republication requests, please contact the individual contributors or publishers.",https://www.ncpedia.org/writing-and-citing-ncpedia-articles,text,text/html,eng,,html,,,Read more about the Battle of Bettis's Bridge,49
